timestamp,result,source_user,source_computer,destination_computer,ip_address,country,auth_type,logon_type,attack_campaign,session_id
2023-01-01 00:00:00,success,user3,PC-003,DB-SERVER-001,10.0.0.5,Canada,SAML,Service,Normal Activity,SID-000001
2023-01-01 00:01:00,failure,service_account,PC-002,APP-SERVER-001,10.0.1.20,United States,Kerberos,RemoteInteractive,Normal Activity,SID-000002
2023-01-01 00:02:00,success,user3,SERVER-001,APP-SERVER-001,192.168.1.15,United States,Kerberos,RemoteInteractive,Normal Activity,SID-000003
2023-01-01 00:03:00,success,svc_backup,PC-003,FILE-SERVER-001,172.16.0.8,United States,OAuth,Network,Normal Activity,SID-000004
2023-01-01 00:04:00,success,analyst1,SERVER-002,DC-001,10.0.0.5,United States,OAuth,RemoteInteractive,Normal Activity,SID-000005
2023-01-01 00:05:00,success,user3,PC-002,APP-SERVER-001,10.0.0.5,Mexico,SAML,Service,Normal Activity,SID-000006
2023-01-01 00:06:00,success,admin,SERVER-001,APP-SERVER-001,10.0.1.20,Canada,LDAP,Interactive,Normal Activity,SID-000007
2023-01-01 00:07:00,success,user3,LAPTOP-001,FILE-SERVER-001,10.0.1.20,United States,OAuth,Interactive,Normal Activity,SID-000008
2023-01-01 00:08:00,success,admin,PC-001,FILE-SERVER-001,10.0.1.20,United States,SAML,Batch,Normal Activity,SID-000009
2023-01-01 00:09:00,success,service_account,SERVER-002,DB-SERVER-001,192.168.1.15,United States,OAuth,Interactive,Normal Activity,SID-000010
2023-01-01 00:10:00,success,user3,PC-002,DC-001,10.0.0.12,United States,NTLM,Network,Normal Activity,SID-000011
2023-01-01 00:11:00,failure,admin,PC-001,APP-SERVER-001,10.0.1.20,United States,Kerberos,Batch,Normal Activity,SID-000012
2023-01-01 00:12:00,success,user3,LAPTOP-001,DB-SERVER-001,10.0.0.12,United States,SAML,Interactive,Normal Activity,SID-000013
2023-01-01 00:13:00,success,service_account,PC-003,DC-001,10.0.0.12,United States,OAuth,Interactive,Normal Activity,SID-000014
2023-01-01 00:14:00,success,user3,PC-003,DB-SERVER-001,10.0.0.5,United States,Kerberos,Batch,Normal Activity,SID-000015
